Designator,Mid X,Mid Y,Rotation,Layer
C1,165.25,-144.225,90.0,top
C10,161.65,-138.425,270.0,bottom
C100,243.5,-132.925,90.0,top
C101,252.3,-136.325,90.0,top
C102,252.6,-134.025,0.0,top
C103,249.4,-129.525,180.0,top
C104,249.4,-127.725,180.0,top
C105,249.4,-125.925,180.0,top
C11,154.05,-131.225,0.0,bottom
C12,156.65,-130.325,90.0,bottom
C13,155.25,-130.325,90.0,bottom
C14,148.45,-146.225,0.0,top
C15,160.25,-130.225,90.0,bottom
C16,158.75,-138.125,270.0,bottom
C17,162.95,-136.025,180.0,bottom
C18,162.95,-134.425,180.0,bottom
C19,162.95,-131.955,180.0,bottom
C2,160.05,-144.225,270.0,top
C20,186.85,-132.225,90.0,top
C3,165.65,-129.625,90.0,top
C36,155.55,-138.225,270.0,bottom
C37,163.05,-133.125,0.0,bottom
C38,161.65,-129.925,270.0,bottom
C39,157.55,-138.625,90.0,bottom
C4,180.97,-132.455,180.0,top
C40,158.45,-129.825,270.0,bottom
C41,194.05,-132.325,90.0,top
C42,202.45,-131.225,0.0,bottom
C43,232.45,-146.225,180.0,bottom
C44,229.9525,-144.48,180.0,top
C48,212.31,-137.895,90.0,top
C49,209.09,-137.895,90.0,top
C5,180.97,-130.385,180.0,top
C50,209.81,-137.895,90.0,top
C51,211.59,-137.895,90.0,top
C55,176.06,-137.895,90.0,top
C56,172.84,-137.895,90.0,top
C57,173.56,-137.895,90.0,top
C58,175.34,-137.895,90.0,top
C59,240.173333,-122.23,90.0,top
C6,163.05,-130.925,180.0,bottom
C60,242.673333,-122.269179,90.0,top
C61,240.893333,-122.23,90.0,top
C62,243.393333,-122.269179,90.0,top
C63,245.283333,-116.725,270.0,bottom
C64,247.183333,-111.825,90.0,bottom
C65,243.883333,-111.825,90.0,bottom
C66,213.506666,-122.23,90.0,top
C67,216.006666,-122.269179,90.0,top
C68,214.226666,-122.23,90.0,top
C69,216.726666,-122.269179,90.0,top
C7,180.97,-133.225,180.0,top
C70,218.616666,-116.725,270.0,bottom
C71,220.516666,-111.825,90.0,bottom
C72,217.216666,-111.825,90.0,bottom
C73,186.84,-122.23,90.0,top
C74,189.34,-122.269179,90.0,top
C75,187.56,-122.23,90.0,top
C76,190.06,-122.269179,90.0,top
C77,191.95,-116.725,270.0,bottom
C78,193.85,-111.825,90.0,bottom
C79,190.55,-111.825,90.0,bottom
C8,180.97,-131.155,180.0,top
C80,160.173333,-122.23,90.0,top
C81,162.673333,-122.269179,90.0,top
C82,160.893333,-122.23,90.0,top
C83,163.393333,-122.269179,90.0,top
C84,165.283333,-116.725,270.0,bottom
C85,167.183333,-111.825,90.0,bottom
C86,163.883333,-111.825,90.0,bottom
C87,229.93,-143.225,180.0,top
C88,229.9525,-141.98,180.0,top
C89,249.85,-143.325,180.0,top
C9,156.45,-138.225,270.0,bottom
C90,236.45,-135.225,270.0,top
C91,253.05,-148.125,0.0,top
C92,249.85,-141.625,180.0,top
C93,249.85,-139.925,180.0,top
C94,242.55,-147.125,90.0,top
C95,243.75,-147.125,90.0,top
C96,218.5,-141.925,0.0,top
C97,182.25,-141.925,0.0,top
C98,252.55,-149.725,90.0,top
C99,242.4,-133.025,90.0,top
D1,216.0,-143.625,270.0,top
D2,179.75,-143.625,270.0,top
FB1,245.483333,-111.925,270.0,bottom
FB2,218.816666,-111.925,270.0,bottom
FB3,192.15,-111.925,270.0,bottom
FB4,165.483333,-111.925,270.0,bottom
J1,234.2,-152.375,0.0,top
J2,210.7,-151.247,0.0,top
J3,174.45,-151.247,0.0,top
J4,241.783333,-104.225,180.0,top
J5,215.116666,-104.225,180.0,top
J6,188.45,-104.225,180.0,top
J7,161.783333,-104.225,180.0,top
J8,194.45,-147.225,0.0,top
J9,156.105,-151.955,0.0,top
L1,256.45,-143.225,90.0,top
L2,255.9,-129.225,90.0,top
R1,152.75,-144.125,180.0,top
R11,147.15,-134.425,0.0,top
R13,147.15,-135.325,0.0,top
R14,163.05,-139.925,90.0,top
R16,146.45,-148.725,0.0,top
R17,153.85,-139.925,270.0,top
R19,146.45,-147.625,0.0,top
R2,145.45,-131.725,0.0,top
R20,144.85,-146.525,180.0,top
R21,145.96,-129.125,180.0,top
R22,145.96,-128.225,180.0,top
R23,145.96,-127.325,180.0,top
R24,145.96,-126.425,180.0,top
R26,194.05,-128.825,90.0,top
R27,234.43,-145.825,90.0,bottom
R28,234.425,-144.17,90.0,bottom
R29,233.33,-141.925,0.0,top
R36,246.083333,-118.825,270.0,bottom
R37,246.883333,-118.825,270.0,bottom
R38,249.683333,-115.725,90.0,bottom
R39,248.483333,-118.825,90.0,bottom
R40,247.683333,-118.825,270.0,bottom
R41,219.416666,-118.825,270.0,bottom
R42,220.216666,-118.825,270.0,bottom
R43,223.016666,-115.725,90.0,bottom
R44,221.816666,-118.825,90.0,bottom
R45,221.016666,-118.825,270.0,bottom
R46,192.75,-118.825,270.0,bottom
R47,193.55,-118.825,270.0,bottom
R48,196.35,-115.725,90.0,bottom
R49,195.15,-118.825,90.0,bottom
R5,147.15,-132.625,0.0,top
R50,194.35,-118.825,270.0,bottom
R51,166.083333,-118.825,270.0,bottom
R52,166.883333,-118.825,270.0,bottom
R53,169.683333,-115.725,90.0,bottom
R54,168.483333,-118.825,90.0,bottom
R55,167.683333,-118.825,270.0,bottom
R56,250.95,-149.408552,270.0,bottom
R57,250.942529,-151.125,270.0,bottom
R58,250.63,-135.225,270.0,bottom
R59,250.6,-136.925,270.0,bottom
R6,164.05,-146.625,180.0,top
R7,152.75,-142.925,180.0,top
R9,147.15,-133.525,0.0,top
U1,147.45,-142.225,270.0,top
U11,174.45,-141.225,270.0,top
U12,247.483333,-115.825,0.0,bottom
U13,241.783333,-119.225,90.0,top
U14,220.816666,-115.825,0.0,bottom
U15,215.116666,-119.225,90.0,top
U16,194.15,-115.825,0.0,bottom
U17,188.45,-119.225,90.0,top
U18,167.483333,-115.825,0.0,bottom
U19,161.783333,-119.225,90.0,top
U2,158.45,-134.225,270.0,top
U3,202.45,-131.225,0.0,top
U4,190.45,-132.225,270.0,top
U5,233.03,-144.225,270.0,top
U6,248.25,-148.425,0.0,top
U7,247.8,-134.225,0.0,top
U9,210.7,-141.225,270.0,top
Y1,162.65,-144.225,180.0,top
